benchmark,dataset,train_size,seed,method,subset,n_train,n_test,n_eval,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
pdebench_burgers,PDEBench Burgers ShockJump,1000,2,dkl_svgp,all,1000,400,400,0.8620168566703796,0.40318384766578674,1.4277300000030664,0.79,1.3537357202259568,0.8125,1.6130756030527604
pdebench_burgers,PDEBench Burgers ShockJump,1000,2,dkl_svgp,near_threshold,1000,400,106,1.3021348714828491,0.7765921354293823,1.4277300000030664,0.6037735849056604,1.3320577378745184,0.6226415094339622,1.5872446938641658
pdebench_burgers,PDEBench Burgers ShockJump,1000,2,dkl_svgp,far_from_threshold,1000,400,294,0.6321877241134644,0.2685536742210388,1.4277300000030664,0.8571428571428571,1.3615515914138903,0.8809523809523809,1.6223887879983083
pdebench_burgers,PDEBench Burgers ShockJump,1000,2,lmjgp_predict_vi,all,1000,400,400,0.7492484450340271,0.26705697178840637,708.2998204000032,0.855,1.201261071976261,0.895,1.431390853584391
pdebench_burgers,PDEBench Burgers ShockJump,1000,2,lmjgp_predict_vi,near_threshold,1000,400,106,0.9139508008956909,0.42418959736824036,708.2998204000032,0.8301886792452831,2.1231327386131174,0.8867924528301887,2.529868697065756
pdebench_burgers,PDEBench Burgers ShockJump,1000,2,lmjgp_predict_vi,far_from_threshold,1000,400,294,0.6801531910896301,0.21040372550487518,708.2998204000032,0.8639455782312925,0.8688855731207957,0.8979591836734694,1.0353410188598173
pdebench_burgers,PDEBench Burgers ShockJump,1000,3,xgb_bootstrap,all,1000,400,400,0.7008196559081045,0.30611294507980347,4.921758700002101,0.9175,1.6550821386824426,0.935,1.9721520080089283
pdebench_burgers,PDEBench Burgers ShockJump,1000,3,xgb_bootstrap,near_threshold,1000,400,106,0.8556383491923224,0.41276535391807556,4.921758700002101,0.8490566037735849,1.7051014375410714,0.8773584905660378,2.031753678752455
pdebench_burgers,PDEBench Burgers ShockJump,1000,3,xgb_bootstrap,far_from_threshold,1000,400,294,0.635820953261723,0.2676600217819214,4.921758700002101,0.9421768707482994,1.6370479697062026,0.95578231292517,1.950662970257861
pdebench_burgers,PDEBench Burgers ShockJump,1000,3,dkl_svgp,all,1000,400,400,0.9146854281425476,0.4598585367202759,1.3026092000000062,0.6925,1.4457947620279719,0.7275,1.7227707172117181
pdebench_burgers,PDEBench Burgers ShockJump,1000,3,dkl_svgp,near_threshold,1000,400,106,1.3711504936218262,0.8175967335700989,1.3026092000000062,0.5471698113207547,1.446054455639199,0.5754716981132075,1.7230801612355995
pdebench_burgers,PDEBench Burgers ShockJump,1000,3,dkl_svgp,far_from_threshold,1000,400,294,0.6785691976547241,0.3308781087398529,1.3026092000000062,0.7448979591836735,1.4457011309980738,0.782312925170068,1.7226591489582095
pdebench_burgers,PDEBench Burgers ShockJump,1000,3,lmjgp_predict_vi,all,1000,400,400,0.7719097137451172,0.2734558582305908,606.9762171999973,0.8525,1.0629979772938893,0.895,1.2666402146653846
pdebench_burgers,PDEBench Burgers ShockJump,1000,3,lmjgp_predict_vi,near_threshold,1000,400,106,0.983403205871582,0.455363005399704,606.9762171999973,0.8018867924528302,1.9510566510320584,0.839622641509434,2.3248273920321214
pdebench_burgers,PDEBench Burgers ShockJump,1000,3,lmjgp_predict_vi,far_from_threshold,1000,400,294,0.6797036528587341,0.20787028968334198,606.9762171999973,0.8707482993197279,0.7428135575107399,0.9149659863945578,0.8851169466352006
